"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,1036.0,0.0,0.15961283445358276,"Michele Bachmann <font color = red>says</font> HPV vaccine can <font color = red>cause</font> mental <font color = red>retardation</font>",1.0,0.5050951838493347,"Michele Bachmann <font color = green>talks</font> HPV vaccine can <font color = green>let</font> mental <font color = green>suspension</font>","Successful"
0.0,123.0,0.0,0.13905251026153564,"Daily Kos founder admits slip-up on <font color = red>calling</font> Turkey an Arab <font color = red>country</font>",1.0,0.635900616645813,"Daily Kos founder admits slip-up on <font color = green>convening</font> Turkey an Arab <font color = green>national</font>","Successful"
0.0,1.0,1.0,0.5271899104118347,"Obama Ordered Half Staff Flag for Whitney Houston but not for Shirley Temple",1.0,0.5271899104118347,"Obama Ordered Half Staff Flag for Whitney Houston but not for Shirley Temple","Skipped"
0.0,1.0,1.0,0.5294485092163086,"President Obama Hesitated to Give Order to Kill Osama Bin Laden",1.0,0.5294485092163086,"President Obama Hesitated to Give Order to Kill Osama Bin Laden","Skipped"
0.0,79.0,0.0,0.33735620975494385,"U.S. Chamber tells seniors that 20 million could lose coverage under the health <font color = red>care</font> law",1.0,0.5708082914352417,"U.S. Chamber tells seniors that 20 million could lose coverage under the health <font color = green>sponsor</font> law","Successful"
0.0,13392.0,0.0,0.07374918460845947,"Austin <font color = red>resident</font> <font color = red>says</font> fluoride <font color = red>compound</font> <font color = red>added</font> to <font color = red>local</font> <font color = red>water</font> <font color = red>supply</font> is ""toxic <font color = red>waste</font>""",1.0,0.5113720893859863,"Austin <font color = green>inhabitant</font> <font color = green>lectures</font> fluoride <font color = green>community</font> <font color = green>increased</font> to <font color = green>national</font> <font color = green>flush</font> <font color = green>investment</font> is ""toxic <font color = green>grime</font>""","Successful"
0.0,9245.0,0.0,0.11519443988800049,"<font color = red>House</font> speaker Paul Ryan <font color = red>asserted</font> that women who <font color = red>use</font> <font color = red>birth</font> control are <font color = red>committing</font> <font color = red>murder</font>.",1.0,0.5075562596321106,"<font color = green>Commitment</font> speaker Paul Ryan <font color = green>predicated</font> that women who <font color = green>grasp</font> <font color = green>seed</font> control are <font color = green>investing</font> <font color = green>massacre</font>.","Successful"
0.0,3752.0,0.0,0.2791067361831665,"Neil deGrasse Tyson <font color = red>addressed</font> <font color = red>gender</font> inequality on Twitter by <font color = red>tearing</font> apart a <font color = red>joke</font> about <font color = red>women</font> in <font color = red>science</font>.",1.0,0.579512357711792,"Neil deGrasse Tyson <font color = green>raised</font> <font color = green>masculine</font> inequality on Twitter by <font color = green>eyeing</font> apart a <font color = green>gag</font> about <font color = green>dames</font> in <font color = green>knowledge</font>.","Successful"
0.0,1.0,1.0,0.5183277130126953,"Independent Senate candidate Larry Pressler claims Mount Rushmore presidents were independents, too",1.0,0.5183277130126953,"Independent Senate candidate Larry Pressler claims Mount Rushmore presidents were independents, too","Skipped"
0.0,156.0,0.0,0.21136724948883057,"Louie Gohmert says George Washington said a free people should be armed to <font color = red>guard</font> against government <font color = red>tyranny</font>",1.0,0.6696035265922546,"Louie Gohmert says George Washington said a free people should be armed to <font color = green>bless</font> against government <font color = green>tough</font>","Successful"
