"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,1201.0,0.0,3.0040740966796875e-05,"Florida School Shooter Nikolas Cruz is a Member of Antifa, Resistance Groups",0.0,3.0040740966796875e-05,"Florida School Shooter Nikolas Cruz is a Member of Antifa, Resistance Groups","Failed"
0.0,235.0,0.0,3.266334533691406e-05,"A <font color = red>fake</font> news article reported that a cross-eyed woman cut off her partner's penis after he refused to look her in the eye during sex.",1.0,0.9950355291366577,"A <font color = green>titular</font> news article reported that a cross-eyed woman cut off her partner's penis after he refused to look her in the eye during sex.","Successful"
0.0,2696.0,0.0,2.586841583251953e-05,"Rick Santorum <font color = red>says</font> after 'Obamacare,' all Americans will be <font color = red>dependent</font> on the <font color = red>federal</font> <font color = red>government</font>",0.0,0.004756152629852295,"Rick Santorum <font color = red>articulates</font> after 'Obamacare,' all Americans will be <font color = red>subordinate</font> on the <font color = red>contingent</font> <font color = red>administrative</font>","Failed"
0.0,96.0,0.0,9.047985076904297e-05,"Jill Carroll will now be <font color = red>used</font> by political Liberals to advance their<SPLIT>cause against the war in Iraq",1.0,0.998930037021637,"Jill Carroll will now be <font color = green>invoked</font> by political Liberals to advance their<SPLIT>cause against the war in Iraq","Successful"
0.0,666.0,0.0,5.2094459533691406e-05,"Political <font color = red>Comments</font> by <font color = red>Comedian</font> Don Rickles",1.0,0.9686807990074158,"Political <font color = green>Values</font> by <font color = green>Extra</font> Don Rickles","Successful"
0.0,4195.0,0.0,4.76837158203125e-05,"<font color = red>Photograph</font> <font color = red>shows</font> <font color = red>crates</font> in which calves are <font color = red>kept</font> immobilized for six weeks before they are slaughtered for veal.",1.0,0.999935507774353,"<font color = green>Film</font> <font color = green>points</font> <font color = green>stands</font> in which calves are <font color = green>archived</font> immobilized for six weeks before they are slaughtered for veal.","Successful"
0.0,1.0,1.0,0.9969750642776489,"A photograph taken during World War II shows members of the League of German Girls during a uniform inspection.",1.0,0.9969750642776489,"A photograph taken during World War II shows members of the League of German Girls during a uniform inspection.","Skipped"
0.0,1.0,1.0,0.9777732491493225,"The bill has no such spending requirement",1.0,0.9777732491493225,"The bill has no such spending requirement","Skipped"
0.0,58.0,0.0,0.0008725523948669434,"David Dewhurst <font color = red>says</font> president's economists say stimulus-created jobs cost $278,000 each",1.0,0.9998114705085754,"David Dewhurst <font color = green>articulates</font> president's economists say stimulus-created jobs cost $278,000 each","Successful"
0.0,1206.0,0.0,4.124641418457031e-05,"The Iraq Study Group didn't <font color = red>say</font> that",0.0,7.998943328857422e-05,"The Iraq Study Group didn't <font color = red>speak</font> that","Failed"
